name,calories,protein,carbs,fat,protein_to_carbs,protein_to_fat,score
Teriyaki Chicken Wrap,495,48,25,22,1.92,2.18,1.43
Mexican Quinoa Bowl,477,43,21,25,2.05,1.72,1.32
Firecracker Chicken Stir-Fry,463,40,33,18,1.21,2.22,1.19
Peruvian Chicken,485,43,37,19,1.16,2.26,1.18
Creamy Lemon Pepper Chicken,474,42,30,21,1.4,2.0,1.18
Chicken Pad Thai,483,40,32,20,1.25,2.0,1.13
Honey BBQ Chicken,473,41,34,20,1.21,2.05,1.13
Pollo al Ajillo,484,39,34,20,1.15,1.95,1.08
Spicy Vodka Rigatoni with Grilled Chicken,525,44,43,24,1.02,1.83,0.99
Garlic Butter Salmon,483,33,24,27,1.38,1.22,0.91
Korean Steak BBQ Bowl,441,31,30,21,1.03,1.48,0.87
Butter White Wine Shrimp,526,36,45,28,0.8,1.29,0.73
YP Signature Parfait,368,21,35,16,0.6,1.31,0.66
Heart Southwest Breakfast Bowl,422,23,23,28,1.0,0.82,0.64
Cinnamon Roll French Toast,407,14,66,10,0.21,1.4,0.55
Southwest Black Bean Skillet,445,19,50,20,0.38,0.95,0.46
Ground Turkey Lasagna,552,23,38,46,0.61,0.5,0.39
BBQ Ranch Chickpea Quinoa Bowl,449,15,60,19,0.25,0.79,0.36
Butter Cauliflower,436,11,48,23,0.23,0.48,0.25
